default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
0,< 0 INR,6,critical account/ other credits existing (not at this bank),domestic appliances,58450,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,domestic appliances,297550,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),104800,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,42,existing credits paid back duly till now,radio/television,394100,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,< 0 INR,24,delay in paying off in the past,car (new),243500,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,36,existing credits paid back duly till now,(vacation - does not exist?),452750,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,radio/television,141750,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,36,existing credits paid back duly till now,car (used),347400,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,152950,.. >= 50000 INR ,4 <= ... < 7 years,2,male : divorced/separated
1,0 <= ... < 10000 INR,30,critical account/ other credits existing (not at this bank),car (new),261700,... < 5000 INR,unemployed,4,male : married/widowed
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),64750,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
1,< 0 INR,48,existing credits paid back duly till now,business,215400,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,78350,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,< 0 INR,24,critical account/ other credits existing (not at this bank),car (new),59950,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,15,existing credits paid back duly till now,car (new),70150,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
1,< 0 INR,24,existing credits paid back duly till now,domestic appliances,64100,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,121200,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,30,no credits taken/ all credits paid back duly,business,403600,unknown/ no savings account,... < 1 year ,2,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (used),628950,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
